Linux 6.8.0-90-generic (theredhothabanero) 	14.12.2025 	_x86_64_	(8 CPU)

17:38:10     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:38:40     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:38:42     all    1,52    0,00    0,76    1,39    0,00    0,13    0,00    0,00    0,00   96,21
17:38:42       0    2,54    0,00    0,51    2,03    0,00    0,51    0,00    0,00    0,00   94,42
17:38:42       1    2,02    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   97,47
17:38:42       2    0,51    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   98,99
17:38:42       3    1,02    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   97,96
17:38:42       4    1,52    0,00    0,51    3,54    0,00    0,00    0,00    0,00    0,00   94,44
17:38:42       5    1,99    0,00    0,50    0,00    0,00    0,50    0,00    0,00    0,00   97,01
17:38:42       6    2,54    0,00    1,52    5,58    0,00    0,00    0,00    0,00    0,00   90,36
17:38:42       7    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99

17:38:42     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:38:44     all    1,51    0,06    0,69    0,44    0,00    0,13    0,00    0,00    0,00   97,17
17:38:44       0    3,03    0,00    0,51    0,51    0,00    0,00    0,00    0,00    0,00   95,96
17:38:44       1    1,50    0,00    1,00    0,00    0,00    0,50    0,00    0,00    0,00   97,00
17:38:44       2    0,51    0,00    0,00    1,01    0,00    0,51    0,00    0,00    0,00   97,98
17:38:44       3    2,01    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   96,98
17:38:44       4    1,51    0,00    1,51    2,01    0,00    0,00    0,00    0,00    0,00   94,97
17:38:44       5    2,53    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   96,97
17:38:44       6    1,01    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   98,49
17:38:44       7    0,00    0,51    0,51    0,00    0,00    0,00    0,00    0,00    0,00   98,99

17:38:44     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:38:46     all    1,51    0,06    0,63    0,69    0,00    0,13    0,00    0,00    0,00   96,97
17:38:46       0    3,03    0,00    0,51    0,00    0,00    0,51    0,00    0,00    0,00   95,96
17:38:46       1    0,51    0,00    0,00    2,53    0,00    0,00    0,00    0,00    0,00   96,97
17:38:46       2    0,51    0,51    0,51    3,03    0,00    0,00    0,00    0,00    0,00   95,45
17:38:46       3    2,54    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   96,95
17:38:46       4    1,01    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   98,48
17:38:46       5    2,02    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   96,97
17:38:46       6    1,51    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   97,49
17:38:46       7    1,01    0,00    1,01    0,00    0,00    0,50    0,00    0,00    0,00   97,49

17:38:46     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:38:48     all    1,51    0,06    0,63    1,01    0,00    0,06    0,00    0,00    0,00   96,72
17:38:48       0    2,01    0,50    0,50    1,01    0,00    0,00    0,00    0,00    0,00   95,98
17:38:48       1    0,50    0,00    0,50    6,50    0,00    0,00    0,00    0,00    0,00   92,50
