procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 868584 4729364  14780 690232    2    0     2     0  196  124  0  0 100  0  0
 0  0 868584 4729780  14788 690228    0    0     0    14  172  103  0  0 100  0  0
 0  0 868584 4734692  14788 690236    0    0     0     8  183  104  0  0 100  0  0
 0  0 868584 4736580  14788 690236    0    0     0     0  240  133  0  0 100  0  0
 0  0 868584 4738208  14796 690228    0    0     0    14  207  119  0  0 100  0  0
 0  0 868584 4739668  14796 690240    0    0     0     8  187  108  0  0 100  0  0
 1  0 868584 4740664  14796 690244    0    0     0     0  197  118  0  0 100  0  0
 0  0 868584 4741732  14804 690236    0    0     0    14  158   96  0  0 100  0  0
 0  0 868584 4742440  14804 690244    0    0     0     8  177  104  0  0 100  0  0
 0  0 868584 4742248  14804 690248    2    0     2     0  178  104  0  0 100  0  0
 0  0 868584 4742280  14812 690248    0    0     0    18  179  112  0  0 100  0  0
 0  0 868584 4742280  14812 690248    0    0     0     8  166   96  0  0 100  0  0
 0  0 868584 4742280  14812 690248    2    0     2     0  180  106  0  0 100  0  0
 0  0 868584 4742280  14820 690240    0    0     0    18  164  102  0  0 100  0  0
 0  0 868584 4742280  14820 690252    0    0     0     8  171  107  0  0 100  0  0
 0  0 868584 4742280  14820 690252    0    0     0     0  176   98  0  0 100  0  0
 0  0 868328 4742056  14828 691700 1088    0  1764    14  968 1214  0  0 99  1  0
 0  0 868328 4742056  14828 691604    6    0     6     6  265  228  0  0 100  0  0
 0  0 868328 4742056  14828 691608    4    0     4     0  187  107  0  0 100  0  0
 1  0 868328 4742056  14836 691608   42    0    42    14  642  707  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 868328 4741804  14836 691608   22    0    22     8  324  274  0  0 100  0  0
